,Prevalence_of_Most_Common_Pitch,Prevalence_of_Most_Common_Pitch_Class,Relative_Prevalence_of_Top_Pitches,Relative_Prevalence_of_Top_Pitch_Classes,Pitch_Variability,Pitch_Class_Variability,Distance_Between_Most_Prevalent_Melodic_Intervals,Prevalence_of_Most_Common_Melodic_Interval,Relative_Prevalence_of_Most_Common_Melodic_Intervals,Repeated_Notes,Chromatic_Motion,Stepwise_Motion,Melodic_Thirds,Melodic_Perfect_Fourths,Melodic_Tritones,Melodic_Perfect_Fifths,Melodic_Sixths,Melodic_Sevenths,Melodic_Octaves,Melodic_Large_Intervals,Direction_of_Melodic_Motion,Average_Interval_Spanned_by_Melodic_Arcs,Prevalence_of_Very_Short_Rhythmic_Values,Prevalence_of_Short_Rhythmic_Values,Prevalence_of_Medium_Rhythmic_Values,Prevalence_of_Long_Rhythmic_Values,Prevalence_of_Very_Long_Rhythmic_Values,Prevalence_of_Most_Common_Rhythmic_Value,Relative_Prevalence_of_Most_Common_Rhythmic_Values,Rhythmic_Value_Variability,Variability_in_Rhythmic_Value_Run_Lengths,Rhythmic_Variability_-_Tempo_Standardized,Rhythmic_Variability
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2009/MIDI-Unprocessed_07_R2_2009_01_ORIG_MID--AUDIO_07_R2_2009_07_R2_2009_03_WAV.midi",0.08136, 0.2141, 0.8723, 0.8652, 12.92, 3.362, 10.0, 0.1522, 0.4422, 0.01637, 0.03699, 0.1043, 0.1122, 0.06367, 0.01334, 0.05882, 0.08187, 0.01455, 0.1522, 0.3827, 0.4636, 20.12, 0.809, 0.8973, 0.1852, 0.01327, 0.001154, 0.5003, 1.0, 0.4182, 2.146, 0.006485, 0.006485
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2009/MIDI-Unprocessed_07_R2_2009_01_ORIG_MID--AUDIO_07_R2_2009_07_R2_2009_02_WAV.midi",0.0587, 0.1253, 0.7914, 0.9713, 11.68, 3.401, 8.0, 0.1671, 0.4636, 0.03038, 0.03684, 0.0733, 0.1523, 0.04596, 0.02697, 0.05051, 0.08963, 0.03266, 0.1671, 0.3312, 0.4497, 18.26, 0.5459, 0.6482, 0.3731, 0.1329, 0.01404, 0.3831, 1.0, 1.149, 3.188, 0.007019, 0.007019
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2009/MIDI-Unprocessed_03_R1_2009_01-02_ORIG_MID--AUDIO_03_R1_2009_03_R1_2009_02_WAV.midi",0.02962, 0.1014, 0.9583, 0.9502, 16.43, 3.413, 9.0, 0.1443, 0.7598, 0.01595, 0.05291, 0.1246, 0.1697, 0.05291, 0.0329, 0.0397, 0.09291, 0.03309, 0.1443, 0.2939, 0.4621, 20.03, 0.7609, 0.8527, 0.2124, 0.0439, 0.006112, 0.5084, 1.0, 0.7712, 7.662, 0.006476, 0.006476
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2009/MIDI-Unprocessed_10_R1_2009_03-05_ORIG_MID--AUDIO_10_R1_2009_10_R1_2009_04_WAV.midi",0.08147, 0.1607, 0.6957, 0.8168, 13.48, 3.421, 12.0, 0.08616, 0.7614, 0.02841, 0.02564, 0.08247, 0.1155, 0.05198, 0.03234, 0.06468, 0.08062, 0.02633, 0.08616, 0.4315, 0.4353, 22.64, 0.5825, 0.7146, 0.3564, 0.09652, 0.0217, 0.3436, 1.0, 1.276, 1.919, 0.006617, 0.006617
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2009/MIDI-Unprocessed_20_R1_2009_01-05_ORIG_MID--AUDIO_20_R1_2009_20_R1_2009_01_WAV.midi",0.06101, 0.1879, 0.8388, 0.7119, 13.19, 3.402, 1.0, 0.09613, 0.9532, 0.01557, 0.057, 0.1531, 0.1493, 0.05568, 0.0217, 0.05853, 0.08933, 0.03683, 0.09109, 0.3288, 0.4757, 19.1, 0.7615, 0.8501, 0.2197, 0.03912, 0.004758, 0.5318, 1.0, 0.6839, 5.257, 0.00658, 0.00658
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2009/MIDI-Unprocessed_19_R2_2009_01_ORIG_MID--AUDIO_19_R2_2009_19_R2_2009_04_WAV.midi",0.06276, 0.1866, 0.9826, 0.9649, 11.91, 3.526, 1.0, 0.1081, 0.7741, 0.01629, 0.02736, 0.08094, 0.1919, 0.07801, 0.02134, 0.05163, 0.09137, 0.04169, 0.07622, 0.3507, 0.4702, 18.95, 0.8553, 0.9194, 0.1374, 0.01468, 9.368E-4, 0.5714, 1.0, 0.4414, 2.411, 0.006644, 0.006644
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2009/MIDI-Unprocessed_08_R2_2009_01_ORIG_MID--AUDIO_08_R2_2009_08_R2_2009_01_WAV.midi",0.05469, 0.1639, 0.8084, 0.8375, 14.76, 3.468, 9.0, 0.1433, 0.543, 0.03042, 0.03191, 0.08324, 0.1252, 0.0308, 0.02314, 0.04031, 0.08959, 0.03117, 0.1433, 0.4028, 0.4302, 23.26, 0.5238, 0.7223, 0.4062, 0.1103, 0.005682, 0.3306, 0.6004, 1.064, 1.546, 0.006208, 0.006208
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2009/MIDI-Unprocessed_04_R1_2009_04-06_ORIG_MID--AUDIO_04_R1_2009_04_R1_2009_06_WAV.midi",0.07836, 0.2284, 0.6857, 0.5948, 13.29, 3.456, 9.0, 0.07568, 0.8958, 0.004336, 0.06543, 0.1179, 0.1226, 0.04139, 0.02759, 0.03902, 0.1194, 0.03547, 0.07568, 0.4166, 0.4794, 20.62, 0.9142, 0.9537, 0.08134, 0.01007, 3.731E-4, 0.8093, 1.0, 0.3261, 7.305, 0.006459, 0.006459
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2009/MIDI-Unprocessed_10_R2_2009_01_ORIG_MID--AUDIO_10_R2_2009_10_R2_2009_03_WAV.midi",0.07511, 0.1419, 0.8093, 0.9395, 10.89, 3.455, 1.0, 0.08963, 0.978, 0.01838, 0.01707, 0.06829, 0.1773, 0.05581, 0.03381, 0.06008, 0.08503, 0.02035, 0.07617, 0.4048, 0.4856, 17.75, 0.8765, 0.9854, 0.1222, 0.00191, 0.0, 0.7553, 1.0, 0.1766, 4.049, 0.006865, 0.006865
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2009/MIDI-Unprocessed_10_R2_2009_01_ORIG_MID--AUDIO_10_R2_2009_10_R2_2009_02_WAV.midi",0.06141, 0.1564, 0.8723, 0.9276, 12.89, 3.497, 9.0, 0.1373, 0.7097, 0.0558, 0.01639, 0.06732, 0.1842, 0.07484, 0.02923, 0.04562, 0.07396, 0.01329, 0.1373, 0.3184, 0.4376, 20.58, 0.2674, 0.4852, 0.5963, 0.1982, 0.03005, 0.2178, 0.806, 1.546, 0.6493, 0.006655, 0.006655
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2009/MIDI-Unprocessed_11_R1_2009_01-05_ORIG_MID--AUDIO_11_R1_2009_11_R1_2009_01_WAV.midi",0.05244, 0.1686, 0.8901, 0.8774, 14.9, 3.507, 9.0, 0.1013, 0.9024, 0.007863, 0.04696, 0.1213, 0.1526, 0.05858, 0.02013, 0.03823, 0.06687, 0.0228, 0.1013, 0.4103, 0.4787, 21.29, 0.8461, 0.9043, 0.14, 0.0206, 0.004358, 0.6606, 1.0, 0.6457, 6.922, 0.006565, 0.006565
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2009/MIDI-Unprocessed_02_R1_2009_03-06_ORIG_MID--AUDIO_02_R1_2009_02_R1_2009_03_WAV.midi",0.06295, 0.1462, 0.9262, 0.9942, 12.23, 3.503, 1.0, 0.09865, 0.8455, 0.003387, 0.09865, 0.182, 0.07282, 0.05123, 0.02837, 0.04149, 0.08679, 0.04064, 0.05927, 0.434, 0.514, 19.23, 0.5142, 0.7106, 0.4533, 0.06548, 0.004647, 0.2712, 1.0, 0.8686, 1.26, 0.00612, 0.00612
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2009/MIDI-Unprocessed_16_R1_2009_01-02_ORIG_MID--AUDIO_16_R1_2009_16_R1_2009_01_WAV.midi",0.07407, 0.242, 0.9308, 0.582, 13.09, 3.35, 1.0, 0.1076, 0.9595, 0.0187, 0.08621, 0.1938, 0.1643, 0.05317, 0.02323, 0.0379, 0.06952, 0.02709, 0.09476, 0.3176, 0.4797, 18.08, 0.7649, 0.8493, 0.2024, 0.05309, 0.008863, 0.5186, 1.0, 0.9378, 4.539, 0.006441, 0.006441
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2009/MIDI-Unprocessed_12_R1_2009_03-05_ORIG_MID--AUDIO_12_R1_2009_12_R1_2009_05_WAV.midi",0.04629, 0.1966, 0.9341, 0.8462, 18.1, 3.38, 10.0, 0.1364, 0.8463, 0.009923, 0.045, 0.1604, 0.1166, 0.04235, 0.01817, 0.04095, 0.07813, 0.02628, 0.1364, 0.3708, 0.4826, 20.76, 0.859, 0.9213, 0.1349, 0.01592, 7.959E-4, 0.7354, 1.0, 0.4011, 9.116, 0.006331, 0.006331
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2009/MIDI-Unprocessed_14_R1_2009_06-08_ORIG_MID--AUDIO_14_R1_2009_14_R1_2009_06_WAV.midi",0.06477, 0.1804, 0.9639, 0.9447, 10.75, 3.364, 1.0, 0.1438, 0.607, 0.01337, 0.08729, 0.2311, 0.1062, 0.04137, 0.0106, 0.04528, 0.07669, 0.04352, 0.06521, 0.3667, 0.4723, 16.27, 0.7772, 0.86, 0.2145, 0.02266, 6.157E-4, 0.6427, 1.0, 0.4635, 4.64, 0.006372, 0.006372
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2009/MIDI-Unprocessed_09_R2_2009_01_ORIG_MID--AUDIO_09_R2_2009_09_R2_2009_04_WAV.midi",0.06513, 0.19, 0.8413, 0.9238, 13.26, 3.512, 10.0, 0.1346, 0.4758, 0.01275, 0.05073, 0.1148, 0.1034, 0.0605, 0.01574, 0.05209, 0.06565, 0.04286, 0.1346, 0.3977, 0.4485, 21.02, 0.7604, 0.9134, 0.2391, 0.004394, 0.0, 0.4017, 1.0, 0.2602, 1.947, 0.006611, 0.006611
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2009/MIDI-Unprocessed_10_R1_2009_03-05_ORIG_MID--AUDIO_10_R1_2009_10_R1_2009_03_WAV.midi",0.05483, 0.1668, 0.9961, 0.9188, 13.21, 3.389, 10.0, 0.1111, 0.9129, 0.01034, 0.04399, 0.1454, 0.1155, 0.05301, 0.02244, 0.05433, 0.09899, 0.03278, 0.1111, 0.3561, 0.4594, 19.63, 0.5785, 0.739, 0.4077, 0.03493, 0.00254, 0.3609, 1.0, 0.6518, 1.729, 0.0064, 0.0064
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2009/MIDI-Unprocessed_17_R1_2009_01-03_ORIG_MID--AUDIO_17_R1_2009_17_R1_2009_02_WAV.midi",0.03861, 0.1313, 0.9118, 0.9637, 16.1, 3.357, 9.0, 0.1509, 0.7769, 0.009183, 0.01672, 0.0438, 0.2006, 0.07229, 0.04756, 0.06546, 0.09395, 0.0332, 0.1509, 0.283, 0.4995, 20.34, 0.7225, 0.8278, 0.2548, 0.04156, 0.006132, 0.5256, 1.0, 0.7727, 2.679, 0.006363, 0.006363
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2009/MIDI-Unprocessed_17_R1_2009_01-03_ORIG_MID--AUDIO_17_R1_2009_17_R1_2009_03_WAV.midi",0.03671, 0.1402, 0.9263, 0.7898, 16.87, 3.362, 9.0, 0.1329, 0.7445, 0.02837, 0.03996, 0.09803, 0.1524, 0.05745, 0.05206, 0.05003, 0.08216, 0.02461, 0.1329, 0.3219, 0.4765, 21.09, 0.9347, 0.9671, 0.06115, 0.00628, 0.001739, 0.8451, 1.0, 0.4989, 18.41, 0.006385, 0.006385
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2009/MIDI-Unprocessed_15_R1_2009_01-02_ORIG_MID--AUDIO_15_R1_2009_15_R1_2009_02_WAV.midi",0.03875, 0.1166, 0.7655, 0.9903, 15.14, 3.401, 9.0, 0.1734, 0.4517, 0.01109, 0.0379, 0.1018, 0.1312, 0.04205, 0.0225, 0.04077, 0.07691, 0.02768, 0.1734, 0.3725, 0.4656, 21.8, 0.7254, 0.8277, 0.2551, 0.04258, 0.007134, 0.5404, 1.0, 0.7922, 5.315, 0.006172, 0.006172
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2009/MIDI-Unprocessed_02_R1_2009_01-02_ORIG_MID--AUDIO_02_R1_2009_02_R1_2009_01_WAV.midi",0.06874, 0.1801, 0.8942, 0.7774, 9.815, 3.352, 1.0, 0.1359, 0.887, 0.009484, 0.1024, 0.2383, 0.196, 0.05811, 0.02047, 0.04682, 0.09604, 0.03372, 0.06247, 0.2386, 0.4682, 14.14, 0.75, 0.8461, 0.2335, 0.03622, 0.004008, 0.4716, 1.0, 0.6749, 2.674, 0.006476, 0.006476
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2009/MIDI-Unprocessed_16_R1_2009_03-06_ORIG_MID--AUDIO_16_R1_2009_16_R1_2009_03_WAV.midi",0.04746, 0.187, 0.8878, 0.6617, 16.39, 3.455, 9.0, 0.1714, 0.4011, 0.017, 0.05668, 0.1109, 0.1092, 0.03969, 0.02136, 0.04121, 0.09049, 0.03731, 0.1714, 0.3615, 0.4612, 22.14, 0.9662, 0.9878, 0.03266, 0.001624, 5.414E-4, 0.8664, 1.0, 0.2427, 16.18, 0.00648, 0.00648
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2009/MIDI-Unprocessed_19_R2_2009_01_ORIG_MID--AUDIO_19_R2_2009_19_R2_2009_02_WAV.midi",0.05414, 0.149, 0.8989, 0.998, 12.57, 3.307, 9.0, 0.1741, 0.4891, 0.006307, 0.01861, 0.04762, 0.1359, 0.05361, 0.03091, 0.04699, 0.07884, 0.03627, 0.1741, 0.3895, 0.4361, 20.23, 0.4802, 0.7205, 0.4933, 0.06448, 0.003954, 0.3002, 0.8004, 0.7123, 1.298, 0.006398, 0.006398
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2009/MIDI-Unprocessed_19_R2_2009_01_ORIG_MID--AUDIO_19_R2_2009_19_R2_2009_03_WAV.midi",0.07025, 0.1964, 0.9843, 0.9476, 11.56, 3.334, 9.0, 0.1749, 0.4394, 0.01521, 0.01721, 0.06042, 0.1285, 0.05122, 0.03121, 0.05682, 0.1236, 0.03201, 0.1749, 0.3261, 0.4482, 19.76, 0.6528, 0.7745, 0.3435, 0.02611, 0.0, 0.4972, 1.0, 0.4773, 4.148, 0.006462, 0.006462
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2009/MIDI-Unprocessed_10_R2_2009_01_ORIG_MID--AUDIO_10_R2_2009_10_R2_2009_04_WAV.midi",0.04792, 0.1425, 0.9286, 0.9482, 13.1, 3.5, 9.0, 0.1093, 0.8765, 0.007953, 0.02275, 0.05826, 0.1857, 0.06972, 0.032, 0.04365, 0.04698, 0.02071, 0.1093, 0.4257, 0.4996, 22.72, 0.7986, 0.9139, 0.1944, 0.009548, 0.002702, 0.5395, 1.0, 0.4512, 1.906, 0.006669, 0.006669
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2009/MIDI-Unprocessed_02_R1_2009_03-06_ORIG_MID--AUDIO_02_R1_2009_02_R1_2009_05_WAV.midi",0.05552, 0.1641, 0.949, 0.8836, 13.15, 3.389, 5.0, 0.1163, 0.6573, 0.02101, 0.02064, 0.06157, 0.1094, 0.05107, 0.046, 0.07642, 0.117, 0.04382, 0.1163, 0.3575, 0.4617, 20.12, 0.8904, 0.9459, 0.1068, 0.005304, 0.002829, 0.6729, 1.0, 0.4361, 2.451, 0.006437, 0.006437
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2009/MIDI-Unprocessed_02_R1_2009_03-06_ORIG_MID--AUDIO_02_R1_2009_02_R1_2009_04_WAV.midi",0.09579, 0.1788, 0.7733, 0.9571, 10.05, 3.53, 3.0, 0.08258, 0.9375, 0.006452, 0.03742, 0.07226, 0.1213, 0.06968, 0.04645, 0.08258, 0.1368, 0.06839, 0.06323, 0.3329, 0.439, 17.14, 0.3959, 0.6066, 0.5607, 0.09579, 0.005109, 0.2248, 1.0, 0.8299, 0.6433, 0.006552, 0.006552
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2009/MIDI-Unprocessed_15_R1_2009_03-06_ORIG_MID--AUDIO_15_R1_2009_15_R1_2009_06_WAV.midi",0.04447, 0.1543, 0.8436, 0.879, 16.84, 3.36, 11.0, 0.1408, 0.6975, 0.01189, 0.09822, 0.1797, 0.1515, 0.04316, 0.03376, 0.02359, 0.0727, 0.03012, 0.1408, 0.3127, 0.4659, 22.32, 0.8726, 0.9248, 0.1164, 0.01867, 0.003111, 0.7639, 1.0, 0.5911, 9.865, 0.006243, 0.006243
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2009/MIDI-Unprocessed_09_R2_2009_01_ORIG_MID--AUDIO_09_R2_2009_09_R2_2009_03_WAV.midi",0.0558, 0.1468, 0.9803, 0.96, 11.03, 3.521, 9.0, 0.1442, 0.7614, 0.04639, 0.02049, 0.05953, 0.1794, 0.06687, 0.02319, 0.06301, 0.08118, 0.02667, 0.1442, 0.3096, 0.4706, 17.16, 0.6105, 0.7654, 0.3726, 0.0301, 0.0, 0.4365, 1.0, 0.5337, 2.285, 0.006819, 0.006819
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2009/MIDI-Unprocessed_18_R1_2009_04_ORIG_MID--AUDIO_18_R1_2009_18_R1_2009_04_WAV.midi",0.03792, 0.1336, 0.8436, 0.8628, 16.16, 3.379, 9.0, 0.15, 0.5658, 0.02276, 0.02859, 0.07481, 0.1394, 0.05816, 0.03006, 0.05591, 0.09567, 0.03112, 0.15, 0.3421, 0.4595, 22.28, 0.5827, 0.708, 0.3734, 0.08491, 0.008797, 0.4249, 1.0, 1.044, 3.41, 0.006554, 0.006554
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2009/MIDI-Unprocessed_09_R2_2009_01_ORIG_MID--AUDIO_09_R2_2009_09_R2_2009_02_WAV.midi",0.1065, 0.2211, 0.5891, 0.7014, 11.97, 3.313, 10.0, 0.1366, 0.5962, 0.0432, 0.03773, 0.1192, 0.09446, 0.04918, 0.02394, 0.04996, 0.09576, 0.03617, 0.1366, 0.3515, 0.4933, 18.96, 0.6357, 0.826, 0.3587, 0.02327, 0.001265, 0.3671, 0.7319, 0.4938, 1.593, 0.006478, 0.006478
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2009/MIDI-Unprocessed_12_R1_2009_03-05_ORIG_MID--AUDIO_12_R1_2009_12_R1_2009_03_WAV.midi",0.06932, 0.1762, 0.7923, 0.925, 11.45, 3.5, 1.0, 0.1086, 0.9423, 0.008717, 0.08916, 0.1915, 0.1869, 0.052, 0.026, 0.04466, 0.07906, 0.04496, 0.08686, 0.2794, 0.4755, 15.88, 0.7242, 0.805, 0.2359, 0.05923, 0.01158, 0.5057, 1.0, 1.064, 3.143, 0.00649, 0.00649
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2009/MIDI-Unprocessed_21_R2_2009_01_ORIG_MID--AUDIO_21_R2_2009_21_R2_2009_01_WAV.midi",0.0695, 0.169, 0.8342, 0.6719, 12.58, 3.332, 1.0, 0.105, 0.8705, 0.06015, 0.02445, 0.0731, 0.1964, 0.07454, 0.0289, 0.07114, 0.09389, 0.02615, 0.07676, 0.2989, 0.4291, 16.99, 0.5372, 0.6997, 0.4309, 0.0552, 0.006963, 0.3002, 1.0, 0.9206, 2.29, 0.00649, 0.00649
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2009/MIDI-Unprocessed_14_R1_2009_01-05_ORIG_MID--AUDIO_14_R1_2009_14_R1_2009_03_WAV.midi",0.134, 0.204, 0.7113, 0.9698, 8.947, 3.486, 1.0, 0.1171, 0.8465, 0.02725, 0.06435, 0.1635, 0.2029, 0.08464, 0.02145, 0.09391, 0.05797, 0.03246, 0.03652, 0.2794, 0.435, 13.77, 0.9731, 0.9798, 0.02691, 0.001121, 0.0, 0.8873, 1.0, 0.1364, 13.53, 0.008487, 0.008487
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2009/MIDI-Unprocessed_14_R1_2009_01-05_ORIG_MID--AUDIO_14_R1_2009_14_R1_2009_02_WAV.midi",0.05676, 0.1296, 0.8889, 0.8919, 11.5, 3.376, 2.0, 0.1423, 0.6482, 0.01073, 0.02361, 0.166, 0.1609, 0.0701, 0.06867, 0.07153, 0.1166, 0.05794, 0.03147, 0.2461, 0.4873, 14.76, 0.4198, 0.6559, 0.5158, 0.1121, 0.02523, 0.2362, 0.9792, 1.317, 0.9132, 0.006589, 0.006589
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2009/MIDI-Unprocessed_17_R2_2009_01_ORIG_MID--AUDIO_17_R2_2009_17_R2_2009_04_WAV.midi",0.03895, 0.1297, 0.955, 0.8919, 13.93, 3.496, 9.0, 0.09915, 0.8972, 0.02514, 0.0539, 0.09649, 0.1718, 0.06521, 0.0243, 0.04999, 0.07387, 0.02625, 0.08895, 0.378, 0.5273, 21.46, 0.9241, 0.9523, 0.07494, 0.003235, 0.0, 0.7727, 1.0, 0.2285, 8.032, 0.006563, 0.006563
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2009/MIDI-Unprocessed_01_R1_2009_01-04_ORIG_MID--AUDIO_01_R1_2009_01_R1_2009_01_WAV.midi",0.09714, 0.1769, 0.7579, 0.815, 9.937, 3.352, 1.0, 0.139, 0.8582, 0.03008, 0.06846, 0.2075, 0.2324, 0.07676, 0.02178, 0.05602, 0.05498, 0.02075, 0.03734, 0.2624, 0.4257, 15.01, 0.8027, 0.9121, 0.1973, 0.0, 0.0, 0.4294, 0.869, 0.229, 1.04, 0.006698, 0.006698
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2009/MIDI-Unprocessed_03_R1_2009_03-08_ORIG_MID--AUDIO_03_R1_2009_03_R1_2009_07_WAV.midi",0.07588, 0.1734, 0.7619, 0.9635, 12.74, 3.405, 5.0, 0.08318, 0.9444, 0.01386, 0.0305, 0.07948, 0.1331, 0.05545, 0.04344, 0.07856, 0.1044, 0.05176, 0.08318, 0.3567, 0.4714, 20.44, 0.4625, 0.6432, 0.5167, 0.06143, 0.00271, 0.2358, 1.0, 0.6754, 0.9401, 0.006835, 0.006835
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2009/MIDI-Unprocessed_03_R1_2009_03-08_ORIG_MID--AUDIO_03_R1_2009_03_R1_2009_06_WAV.midi",0.2818, 0.4613, 0.4154, 0.257, 10.54, 3.061, 12.0, 0.1829, 0.4938, 0.09029, 0.05181, 0.1326, 0.1478, 0.06438, 0.01752, 0.04952, 0.048, 0.04724, 0.1829, 0.2198, 0.4682, 14.16, 0.8716, 0.9057, 0.1009, 0.04, 0.002202, 0.8228, 1.0, 0.6447, 22.35, 0.006672, 0.006672
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2009/MIDI-Unprocessed_06_R1_2009_03-07_ORIG_MID--AUDIO_06_R1_2009_06_R1_2009_04_WAV.midi",0.06508, 0.1518, 0.8556, 0.9476, 10.45, 3.563, 1.0, 0.1665, 0.5551, 0.002201, 0.09244, 0.259, 0.08731, 0.03081, 0.007337, 0.03302, 0.05649, 0.02421, 0.02348, 0.4762, 0.5029, 18.66, 0.9537, 0.9812, 0.04483, 0.006508, 0.001446, 0.8518, 1.0, 0.286, 8.279, 0.007346, 0.007346
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2009/MIDI-Unprocessed_06_R1_2009_03-07_ORIG_MID--AUDIO_06_R1_2009_06_R1_2009_05_WAV.midi",0.05809, 0.1435, 1.0, 0.996, 11.08, 3.349, 10.0, 0.1082, 0.7594, 0.01389, 0.05613, 0.1644, 0.1302, 0.06424, 0.02894, 0.06134, 0.08796, 0.04977, 0.08218, 0.3171, 0.5076, 17.3, 0.377, 0.5718, 0.5513, 0.1167, 0.01879, 0.1948, 0.9825, 1.297, 0.8798, 0.006335, 0.006335
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2009/MIDI-Unprocessed_08_R1_2009_01-04_ORIG_MID--AUDIO_08_R1_2009_08_R1_2009_03_WAV.midi",0.09519, 0.1851, 0.9597, 0.8719, 10.13, 3.276, 7.0, 0.1606, 0.4844, 7.138E-4, 0.05603, 0.1292, 0.1378, 0.0778, 0.02677, 0.07245, 0.08779, 0.04283, 0.1606, 0.2641, 0.4589, 16.16, 0.666, 0.8414, 0.311, 0.03696, 0.004184, 0.3863, 0.7238, 0.6685, 1.139, 0.006556, 0.006556
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2009/MIDI-Unprocessed_08_R1_2009_01-04_ORIG_MID--AUDIO_08_R1_2009_08_R1_2009_02_WAV.midi",0.1147, 0.2588, 0.5957, 0.7132, 10.42, 3.365, 3.0, 0.123, 0.6908, 0.01136, 0.006914, 0.04198, 0.1417, 0.06272, 0.03259, 0.07802, 0.1422, 0.0242, 0.123, 0.3422, 0.482, 17.69, 0.3765, 0.6045, 0.543, 0.1177, 0.02686, 0.228, 0.9764, 1.267, 0.8587, 0.006312, 0.006312
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2009/MIDI-Unprocessed_18_R1_2009_01-03_ORIG_MID--AUDIO_18_R1_2009_18_R1_2009_01_WAV.midi",0.07329, 0.2099, 0.9873, 0.9867, 10.77, 3.462, 10.0, 0.1308, 0.6601, 0.002559, 0.07326, 0.2041, 0.1353, 0.06654, 0.01184, 0.06014, 0.0723, 0.03391, 0.08637, 0.3269, 0.4971, 16.15, 0.7494, 0.8211, 0.222, 0.04255, 0.003727, 0.5047, 1.0, 0.8233, 2.091, 0.006833, 0.006833
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2009/MIDI-Unprocessed_07_R1_2009_04-05_ORIG_MID--AUDIO_07_R1_2009_07_R1_2009_04_WAV.midi",0.07434, 0.1559, 0.8914, 0.9428, 11.2, 3.466, 4.0, 0.08244, 0.8646, 0.009017, 0.08244, 0.1447, 0.1035, 0.07128, 0.03564, 0.06269, 0.1168, 0.04122, 0.06698, 0.3482, 0.5295, 17.94, 0.4822, 0.6024, 0.4737, 0.08539, 0.01147, 0.2536, 1.0, 0.9943, 0.9475, 0.006275, 0.006275
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2009/MIDI-Unprocessed_16_R2_2009_01_ORIG_MID--AUDIO_16_R2_2009_16_R2_2009_01_WAV.midi",0.04092, 0.1275, 0.9467, 0.9572, 13.9, 3.441, 9.0, 0.2203, 0.3797, 0.06397, 0.007192, 0.03444, 0.1523, 0.04182, 0.02214, 0.03974, 0.06548, 0.01836, 0.2203, 0.3414, 0.4551, 19.64, 0.639, 0.8185, 0.3392, 0.04474, 0.001273, 0.345, 1.0, 0.6399, 2.18, 0.006587, 0.006587
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2009/MIDI-Unprocessed_07_R1_2009_04-05_ORIG_MID--AUDIO_07_R1_2009_07_R1_2009_05_WAV.midi",0.03755, 0.1213, 0.9767, 0.887, 13.82, 3.456, 9.0, 0.1047, 0.8558, 0.005523, 0.04317, 0.08284, 0.1736, 0.06434, 0.03433, 0.06176, 0.1117, 0.04409, 0.1047, 0.3171, 0.4566, 19.03, 0.6995, 0.8153, 0.2761, 0.04235, 0.006899, 0.4794, 1.0, 0.8158, 3.796, 0.006376, 0.006376
